rxn	name	ec	chem_class	dg_eq	dg_dgp	dgp_uncertainty	eq_uncertainty	absdiff
rxn48336		1.14.13.228	Oxygenation: O2 incorporated	-93.8200	-91.0300	13.0100	0.7412	2.7900
rxn38972	RXN-6903.m.chlamyexp.NAD_NADH	1.1.1.61;1.2.1.16	Redox: carbon, hydride transfer	0.0900	-2.7000	0.9400	0.4055	2.7900
rxn30583	3.1.3.56-RXN	3.1.3.56;3.1.3.56-	Hydrolysis	-2.8100	-0.0200	12.9300	0.3323	2.7900
rxn01776	D-Mannonate:NAD+ 6-oxidoreductase	1.1.1.131	Redox: carbon, hydride transfer	3.9500	6.7400	11.2800	0.2608	2.7900
rxn01201	4-Hydroxybutanoate:NAD+ oxidoreductase	1.1.1.61;1.2.1.16	Redox: carbon, hydride transfer	-0.0900	2.7000	0.9400	0.4055	2.7900
rxn33455	Inositol-1,4,5-trisphosphate 5-phosphatase	3.1.3.56;3.1.3.56-	Hydrolysis	-2.8100	-0.0200	12.9300	0.3323	2.7900
rxn17853	InsP3/Ins(1,3,4,5)P4 5-phosphatase	3.1.3.56;3.1.3.56-	Hydrolysis	-2.8100	-0.0200	12.9300	0.3323	2.7900
rxn00018	3-phospho-D-glycerate carboxy-lyase (dimerizing; D-ribulose-1,5-bisphosphate-forming)	4.1.1.39	C-C bond: carboxylation / decarboxylation	-6.3100	-9.1000	1.3000	0.9061	2.7900
rxn36304	alcohol dehydrogenase [NAD(P)+]	1.1.1.71	Redox: carbon, hydride transfer	6.2900	3.5000	9.8700	0.3599	2.7900
rxn40978		1.1.99.24	Other / unclassified	-6.6300	-3.8400	1.1200	0.6402	2.7900
rxn39280	diphosphate:glycerol 1-phosphotransferase		Group transfer: phosphoryl	0.8700	3.6600	10.5500	0.5605	2.7900
