compound	name	formula	charge	n_reactions	offset	abs_offset	mass	eq_uncertainty	heavy_atoms	n_rings	n_arom_atoms	n_conj_bonds	frac_conj	n_stereo	n_rotatable	logp	n_distinct_r1_frags	frag_failures
cpd03711	2-Hydroxychromene-2-carboxylate	C10H7O4	-1	6	-12.6980	12.6980	191.0000	1.5179	14	2	6	11	0.7333	1	1	-0.4693	11	0
cpd00143	Phenylpyruvate	C9H7O3	-1	39	12.6350	12.6350	163.0000	0.6510	12	1	6	10	0.8333	0	3	-0.4519	7	0
cpd04653	Theobromine	C7H8N4O2	0	7	-12.6310	12.6310	180.0000	0.9615	13	2	9	12	0.8571	0	0	-1.0397	10	0
cpd01749	N-Formylkynurenine	C11H12N2O4	0	5	12.6020	12.6020	236.0000	1.3141	17	1	6	13	0.7647	1	6	-1.8119	12	0
cpd01534	1-Dodecanol	C12H26O	0	7	-12.5560	12.5560	186.0000	0.9750	13	0	0	0	0.0000	0	10	3.8996	4	0
cpd19036	beta-D-Fructose 1,6-bisphosphate	C6H10O12P2	-4	13	-12.5180	12.5180	340.0000	0.4821	20	1	0	0	0.0000	4	6	-5.5138	10	0
cpd03248	3alpha,7alpha,12alpha-Trihydroxy-5beta-24-oxocholestanoyl-CoA	C48H74N7O21P3S	-4	6	12.5010	12.5010	1210.0000	56449.8616	80	7	9	15	0.1744	19	25	-0.2804	36	0
cpd08255	(1S,4R)-Iso-dihydrocarvone	C10H16O	0	5	-12.4410	12.4410	152.0000	1.7961	11	1	0	0	0.0000	2	1	2.5678	8	0
cpd34433	sucrose mono-4-isovalerate	C17H30O12	0	8	12.4120	12.4120	426.4170	0.9570	29	2	0	2	0.0667	9	8	-3.7986	13	0
cpd01101	Carbamate	CH2NO2	-1	6	-12.3390	12.3390	60.0000	0.4753	4	0	0	3	1.0000	0	0	-1.7116	4	0
cpd01747	Indole-3-acetamide	C10H10N2O	0	5	12.3260	12.3260	174.0000	1.1064	13	2	9	12	0.8571	0	2	1.1957	10	0
cpd03870	2-Hydroxyethylphosphonate	C2H6O4P	-1	5	-12.3150	12.3150	124.0000	1.7072	7	0	0	0	0.0000	1	2	-1.4756	7	0
cpd03161	Phenethylamine	C8H12N	1	8	12.3130	12.3130	122.0000	0.6885	9	1	6	6	0.6667	0	2	0.4710	5	0
cpd00251	ADPribose	C15H21N5O14P2	-2	14	12.2560	12.2560	557.0000	0.8156	36	4	9	11	0.2821	10	9	-4.5467	20	0
cpd00859	Pseudouridine 5'-phosphate	C9H11N2O9P	-2	6	12.2280	12.2280	323.0000		21	2	0	6	0.2727	5	4	-3.7423	18	0
cpd00461	Oxopent-4-enoate	C5H5O3	-1	14	12.2060	12.2060	113.0000	0.4299	8	0	0	4	0.5714	0	3	-1.1185	7	0
cpd03035	4-methylzymosterol	C28H46O	0	7	12.2000	12.2000	398.0000	56449.3836	29	4	0	0	0.0000	8	4	7.6989	10	0
cpd27712	2-keto-4-pentenoate	C5H5O3	-1	11	12.1800	12.1800	114.0000	0.4299	8	0	0	4	0.5714	0	3	-1.1185	7	0
cpd32214	(2Z)-2-hydroxypenta-2,4-dienoate	C5H5O3	-1	11	12.1800	12.1800	113.0930	0.4299	8	0	0	4	0.5714	0	3	-1.1185	7	0
