rxn	name	ec	dg_eq	dg_dgp	diff	absdiff	definition	cofactors	net_proton	d_charge_sq	n_participants	max_carbon	dgp_uncertainty	eq_uncertainty
rxn51030	39639		-0.100	-1.580	1.480	1.480	(1) (3R)-hydroxy-(18Z,21Z,24Z,27Z,30Z,33Z)-hexatriacontahexaenoyl-CoA[0] <=> (1) H2O[0] + (1) (2E,18Z,21Z,24Z,27Z,30Z,33Z)-hexatriacontaheptaenoyl-CoA[0]	h2o	0.000	0.000	3	57	12.580	0.357
rxn43898			-0.100	-1.580	1.480	1.480	(1) (3R)-hydroxy-20:2delta11,14[0] <=> (1) H2O[0] + (1) (2E,11Z,14Z)-icosa-2,11,14-trienoyl-CoA[0]	h2o	0.000	0.000	3	41	12.580	0.357
rxn51027	39627		-0.100	-1.580	1.480	1.480	(1) (3R)-hydroxy-(16Z,19Z,22Z,25Z,28Z,31Z)-tetratriacontahexaenoyl-CoA[0] <=> (1) H2O[0] + (1) (2E,16Z,19Z,22Z,25Z,28Z,31Z)-tetratriacontaheptaenoyl-CoA[0]	h2o	0.000	0.000	3	55	12.580	0.357
rxn51024	39615		-0.100	-1.580	1.480	1.480	(1) (3R)-hydroxy-(14Z,17Z,20Z,23Z,26Z,29Z)-dotriacontahexaenoyl-CoA[0] <=> (1) H2O[0] + (1) (2E,14Z,17Z,20Z,23Z,26Z,29Z)-dotriacontaheptaenoyl-CoA[0]	h2o	0.000	0.000	3	53	12.580	0.357
rxn51021	39603		-0.100	-1.580	1.480	1.480	(1) (3R)-hydroxy-(12Z,15Z,18Z,21Z,24Z,27Z)-triacontahexaenoyl-CoA[0] <=> (1) H2O[0] + (1) (2E,12Z,15Z,18Z,21Z,24Z,27Z)-triacontaheptaenoyl-CoA[0]	h2o	0.000	0.000	3	51	12.580	0.357
rxn42920			-0.100	-1.580	1.480	1.480	(1) (3R)-hydroxy-nonanoyl-CoA[0] <=> (1) H2O[0] + (1) 2-trans-nonenoyl-CoA[0]	h2o	0.000	0.000	3	30	12.580	0.357
rxn42868			-0.100	-1.580	1.480	1.480	(1) (R)-3-Hydroxycapryloyl-CoA[0] <=> (1) H2O[0] + (1) (2E)-Octenoyl-CoA[0]	h2o	0.000	0.000	3	29	12.580	0.357
rxn37286	AtECH2	4.2.1.-;4.2.1.119	-0.100	-1.580	1.480	1.480	(1) (3R)-3-hydroxy-stearoyl-CoA[0] <=> (1) H2O[0] + (1) (2E)-Octadecenoyl-CoA[0]	h2o	0.000	0.000	3	39	12.580	0.357
rxn37285	AtECH2	4.2.1.119	-0.100	-1.580	1.480	1.480	(1) (R)-3-hydroxydecanoyl-CoA[0] <=> (1) H2O[0] + (1) (2E)-Decenoyl-CoA[0]	h2o	0.000	0.000	3	31	12.580	0.357
rxn44384			-0.100	-1.580	1.480	1.480	(1) 3-hydroxy-dihomo gamma-linolenoyl-CoA[0] <=> (1) H2O[0] + (1) dihomo gamma-linolenoyl-2-enoyl-CoA[0]	h2o	0.000	0.000	3	41	12.580	0.357
rxn37291	AtECH2	4.2.1.-;4.2.1.119	-0.100	-1.580	1.480	1.480	(1) (3R)-3-hydroxy-cerotoyl-CoA[0] <=> (1) H2O[0] + (1) (2E)-cerotenoyl-CoA[0]	h2o	0.000	0.000	3	47	12.580	0.357
rxn37290	AtECH2	4.2.1.-;4.2.1.119	-0.100	-1.580	1.480	1.480	(1) (3R)-3-hydroxy-lignoceroyl-CoA[0] <=> (1) H2O[0] + (1) (2E)-lignocerenoyl-CoA[0]	h2o	0.000	0.000	3	45	12.580	0.357
rxn01133	Acetyl-CoA:maltose O-acetyltransferase	2.3.1.79	-0.850	0.630	-1.480	1.480	(1) Acetyl-CoA[0] + (1) Maltose[0] <=> (1) CoA[0] + (1) Acetyl-maltose[0]	coa	0.000	0.000	4	23	10.510	0.884
rxn55870	65472		-2.370	-0.890	-1.480	1.480	(1) Ethanol[0] + (1) 2-Methylbutyryl-CoA[0] <=> (1) CoA[0] + (1) ethyl 2-methylbutanoate[0]	coa	0.000	0.000	4	26	20.060	0.649
rxn32779	3'-phosphoadenylyl-sulfate sulfohydrolase;	3.6.1.9;3.6.2.2	-21.160	-19.680	-1.480	1.480	(1) H2O[0] + (1) 3-phosphoadenylylsulfate[0] => (1) Adenosine 3-5-bisphosphate[0] + (1) Sulfate[0] + (2) H+[0]	h;h2o	2.000	6.000	5	10	0.940	1.385
rxn00359	3'-phosphoadenylyl-sulfate sulfohydrolase	3.6.1.9;3.6.2.2	-21.160	-19.680	-1.480	1.480	(1) H2O[0] + (1) 3-phosphoadenylylsulfate[0] => (1) Adenosine 3-5-bisphosphate[0] + (1) Sulfate[0] + (2) H+[0]	h;h2o	2.000	6.000	5	10	0.940	1.385
