rxn	name	ec	dg_eq	dg_dgp	diff	absdiff	definition	cofactors	net_proton	d_charge_sq	n_participants	max_carbon	dgp_uncertainty	eq_uncertainty
rxn38076	DHBDEHYD-RXN.w	1.3.1.28	-14.040	44.970	-59.010	59.010	(1) NAD[0] + (1) 2,3-Dihydroxy-2,3-dihydrobenzoate[0] => (1) NADH[0] + (1) H+[0] + (1) 2,3-Dihydroxybenzoate[0]	h;nad;nadh	1.000	4.000	5	21	38.760	1.647
rxn01094	2,3-dihydro-2,3-dihydroxybenzoate:NAD+ oxidoreductase	1.3.1.28	-14.040	44.970	-59.010	59.010	(1) NAD[0] + (1) 2,3-Dihydroxy-2,3-dihydrobenzoate[0] => (1) NADH[0] + (1) H+[0] + (1) 2,3-Dihydroxybenzoate[0]	h;nad;nadh	1.000	4.000	5	21	38.760	1.647
rxn38075	DHBDEHYD-RXN.n	1.3.1.28	-14.040	44.970	-59.010	59.010	(1) NAD[0] + (1) 2,3-Dihydroxy-2,3-dihydrobenzoate[0] => (1) NADH[0] + (1) H+[0] + (1) 2,3-Dihydroxybenzoate[0]	h;nad;nadh	1.000	4.000	5	21	38.760	1.647
rxn11573	R03823		69.830	10.820	59.010	59.010	(1) beta-Carotene[0] <= (1) Lycopene[0]		0.000	0.000	2	40	80.070	3.697
rxn38073	DHBDEHYD-RXN.e	1.3.1.28	-14.040	44.970	-59.010	59.010	(1) NAD[0] + (1) 2,3-Dihydroxy-2,3-dihydrobenzoate[0] => (1) NADH[0] + (1) H+[0] + (1) 2,3-Dihydroxybenzoate[0]	h;nad;nadh	1.000	4.000	5	21	38.760	1.647
rxn38072	DHBDEHYD-RXN.d	1.3.1.28	-14.040	44.970	-59.010	59.010	(1) NAD[0] + (1) 2,3-Dihydroxy-2,3-dihydrobenzoate[0] => (1) NADH[0] + (1) H+[0] + (1) 2,3-Dihydroxybenzoate[0]	h;nad;nadh	1.000	4.000	5	21	38.760	1.647
rxn38074	DHBDEHYD-RXN.m	1.3.1.28	-14.040	44.970	-59.010	59.010	(1) NAD[0] + (1) 2,3-Dihydroxy-2,3-dihydrobenzoate[0] => (1) NADH[0] + (1) H+[0] + (1) 2,3-Dihydroxybenzoate[0]	h;nad;nadh	1.000	4.000	5	21	38.760	1.647
rxn32545	Homogentisate 1,2-dioxygenase	1.13.11.5	-62.380	-121.270	58.890	58.890	(1) O2[0] + (1) Homogentisate[0] => (1) H+[0] + (1) 4-Maleylacetoacetate[0]	h;o2	1.000	4.000	4	8	31.760	1.361
rxn01825	Homogentisate:oxygen 1,2-oxidoreductase (decyclizing)	1.13.11.5	-62.380	-121.270	58.890	58.890	(1) O2[0] + (1) Homogentisate[0] => (1) H+[0] + (1) 4-Maleylacetoacetate[0]	h;o2	1.000	4.000	4	8	31.760	1.361
rxn32572	Homogentisate 1,2-dioxygenase	1.13.11.5	-62.380	-121.270	58.890	58.890	(1) O2[0] + (1) Homogentisate[0] => (1) H+[0] + (1) 4-Maleylacetoacetate[0]	h;o2	1.000	4.000	4	8	31.760	1.361
rxn24140	2',4,4',6'-tetrahydroxychalcone:oxygen oxidoreductase	1.21.3.6	-126.780	-68.080	-58.700	58.700	(1) O2[0] + (1) Butein[0] => (1) H2O[0] + (1) Aureusidin[0]	h2o;o2	0.000	0.000	4	15	38.590	
rxn24141	2',4,4',6'-tetrahydroxychalcone:oxygen oxidoreductase	1.21.3.6	-126.780	-68.080	-58.700	58.700	(1) O2[0] + (1) Butein[0] => (1) H2O[0] + (1) Aureusidin[0]	h2o;o2	0.000	0.000	4	15	38.590	
rxn48192	2',4,4',6'-tetrahydroxychalcone:oxygen oxidoreductase		-126.600	-68.010	-58.590	58.590	(1) O2[0] + (1) butein 4'-glucoside[0] => (1) H2O[0] + (1) Aureusidin 6-O-glucoside[0]	h2o;o2	0.000	0.000	4	21	38.590	
rxn10981	FADOX		-2.370	56.020	-58.390	58.390	(1) FADH2[0] + (1) Menaquinone6[0] <=> (1) FAD[0] + (1) Menaquinol6[0]	fad;fadh2	0.000	0.000	4	41	68.460	
rxn46731			-123.880	-65.630	-58.250	58.250	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) 3,8,10,11-tetrahydroxy-1-methyl-12H-benzo[b]xanthen-12-one[0] => (1) H2O[0] + (1) NADP[0] + (1) 7-hydroxy-pre-bikaverin[0]	h;h2o;nadp;nadph;o2	-1.000	-8.000	7	21	26.830	
rxn04999	phenylacetyl-CoA:quinone oxidoreductase	1.17.5.1	-19.010	39.010	-58.020	58.020	(1) H2O[0] + (2) Chinone[0] + (1) Phenylacetyl-CoA[0] <=> (2) Quinol[0] + (1) Phenylglyoxylyl-CoA[0]	h2o	0.000	0.000	5	29	118.490	4.852
rxn03559	2,3-Dihydroxy-4'-chlorobiphenyl:oxygen 1,2-oxidoreductase (decyclizing)	1.13.11.39	-62.100	-119.440	57.340	57.340	(1) O2[0] + (1) 2,3-Dihydroxy-4'-chlorobiphenyl[0] => (1) H+[0] + (1) 2-Hydroxy-6-oxo-6-(4'-chlorophenyl)-hexa-2,4-dienoate[0]	h;o2	1.000	2.000	4	12	54.320	
rxn42381			36.740	-20.530	57.270	57.270	(1) S-Adenosyl-L-methionine[0] + (1) 3',4',5'-trimethylmyricetin[0] <=> (1) S-Adenosyl-homocysteine[0] + (1) H+[0] + (1) 3,3',4',5'-tetramethylmyricetin[0]	h;sah;sam	1.000	0.000	5	19	42.060	
rxn35601	quinate dehydrogenase (quinone)	1.1.5.8	-15.480	41.740	-57.220	57.220	(1) Quinate[0] + (1) 2-Demethylmenaquinone 8[0] => (1) 5-Dehydroquinate[0] + (1) 2-Demethylmenaquinol 8[0]		0.000	0.000	4	50	61.870	1.582
rxn35595	quinate dehydrogenase (quinone)	1.1.5.8	-15.480	41.740	-57.220	57.220	(1) Quinate[0] + (1) Demethylphylloquinone[0] => (1) 5-Dehydroquinate[0] + (1) 3-phytyl-1,4-naphtoquinol[0]		0.000	0.000	4	30	61.870	1.582
