rxn_id,operator,dg,dge
rxn00581,=,-1.7,6.25
rxn00582,=,0.0,3.92
rxn00583,=,-9.34,6.31
rxn00584,>,-11.3,6.33
rxn00585,=,-9.34,6.3
rxn00586,>,-95.83,6.24
rxn00587,>,-72.89,1.47
rxn00588,>,-96.52,1.55
rxn00589,>,-95.93,6.29
rxn00590,>,-97.78,6.26
rxn00591,>,-11.3,6.33
rxn00592,=,-0.1,1.49
rxn00593,=,-0.1,1.49
rxn00594,>,-92.22,6.3
rxn00595,>,-92.22,6.28
rxn00596,=,-4.36,5.01
rxn00598,=,7.06,7.08
rxn00599,=,2.16,5.0
rxn00600,=,5.25,4.98
rxn00601,>,-5.29,5.52
rxn00602,=,1.81,5.03
rxn00603,=,2.9,6.34
rxn00604,=,-2.0,6.39
rxn00605,=,-1.7,4.95
rxn00606,=,-3.11,3.72
rxn00607,=,-3.11,3.72
rxn00608,=,-3.11,3.72
rxn00609,=,1.68,2.09
rxn00610,=,7.22,0.92
rxn00611,=,3.76,6.12
rxn00612,=,3.76,6.11
rxn00613,=,5.22,6.11
rxn00614,>,-27.95,0.86
rxn00615,>,-14.03,4.34
rxn00616,=,-15.09,7.43
rxn00617,=,0.0,2.23
rxn00618,=,-1.7,4.01
rxn00619,=,-1.7,4.01
rxn00620,>,-28.37,2.86
rxn00621,=,1.07,2.87
rxn00623,=,37.8,18.34
rxn00625,<,10.11,0.87
rxn00627,>,-14.03,4.7
rxn00629,=,2.01,6.33
rxn00630,=,2.01,6.32
rxn00631,=,5.51,6.28
rxn00632,=,7.22,2.02
rxn00633,=,-4.01,2.62
rxn00634,=,2.01,6.33
rxn00635,>,-14.03,4.32
rxn00636,=,-0.89,2.05
rxn00638,=,-4.58,13.28
rxn00639,>,-28.37,4.87
rxn00640,=,12.03,4.87
rxn00641,=,1.07,4.88
rxn00642,>,-13.9,5.17
rxn00643,=,0.0,5.23
rxn00644,<,21.97,6.4
rxn00646,>,-6.35,4.52
rxn00647,<,9.53,1.13
rxn00649,>,-12.95,1.12
rxn00650,=,-0.46,1.31
rxn00651,=,-3.52,1.27
rxn00652,=,0.0,0.99
rxn00653,=,9.8,6.14
rxn00654,=,2.73,1.33
rxn00655,=,9.21,6.21
rxn00656,=,1.0,0.55
rxn00657,=,-1.0,0.65
rxn00658,=,-2.0,1.03
rxn00659,>,-26.84,4.47
rxn00660,=,-0.46,1.24
rxn00661,>,-26.84,4.97
rxn00662,=,-3.9,1.71
rxn00663,<,5.75,4.99
rxn00664,>,-33.66,1.51
rxn00666,<,92.6,4.94
rxn00668,=,-15.89,7.9
rxn00669,=,-1.06,6.58
rxn00670,=,-5.84,4.98
rxn00671,=,-7.14,7.88
rxn00672,>,-3.09,5.05
rxn00673,=,-2.96,8.96
rxn00674,>,-21.55,6.57
rxn00675,=,-10.42,6.57
rxn00676,=,5.25,7.06
rxn00677,=,-1.54,5.03
rxn00678,=,1.81,5.04
rxn00679,<,10.73,5.01
rxn00680,<,8.96,5.0
rxn00681,<,695.87,3.58
rxn00682,=,-5.02,5.04
rxn00684,=,0.59,7.44
rxn00685,>,-17.15,7.51
rxn00686,=,0.59,7.43
rxn00687,>,-17.15,7.5
rxn00688,>,-9.03,7.55
rxn00690,=,-0.87,6.2
rxn00691,=,-5.94,4.46
rxn00692,=,-0.05,4.37
rxn00693,=,-6.41,4.29
rxn00695,=,1.07,5.21
rxn00697,>,-28.37,5.2
rxn00698,=,-10.33,3.74
rxn00699,=,-10.33,3.74
rxn00700,=,1.07,4.88
rxn00701,=,0.0,4.9
rxn00702,=,1.07,4.01
rxn00703,=,17.55,4.41
rxn00704,=,0.0,2.14
rxn00706,>,-16.34,3.95
rxn00707,>,-14.03,4.75
rxn00708,=,7.22,2.76
rxn00709,>,-14.03,5.06
rxn00710,=,-1.32,2.72
rxn00711,<,12.54,2.81
rxn00712,>,-14.03,3.79
rxn00713,>,-14.03,4.71
rxn00714,>,-18.84,4.67
rxn00715,>,-14.03,4.72
rxn00716,=,-1.32,2.24
rxn00717,=,-5.14,2.19
rxn00718,>,-26.96,2.25
rxn00719,=,4.75,6.47
rxn00720,=,4.75,6.45
rxn00721,>,-20.0,4.54
rxn00722,>,-92.12,6.3
rxn00723,>,-21.55,6.71
rxn00724,>,-132.59,2.05
rxn00725,>,-14.2,5.04
rxn00726,>,-39.44,1.87
rxn00727,>,-44.16,1.87
rxn00728,>,-12.81,1.5
rxn00729,=,-0.5,1.61
rxn00730,>,-4.05,5.16
rxn00731,=,-0.1,1.36
rxn00732,>,-63.02,1.46
rxn00734,>,-68.37,0.99
rxn00735,=,-3.13,6.14
rxn00736,<,3.09,0.71
rxn00737,>,-5.7,0.72
rxn00738,>,-11.93,1.87
rxn00739,<,8.92,4.99
rxn00740,>,-9.65,1.04
rxn00741,=,6.22,6.12
rxn00742,>,-11.36,1.42
rxn00743,=,7.22,0.86
rxn00744,>,-14.03,4.33
rxn00745,=,-9.11,0.82
rxn00746,=,5.22,0.73
rxn00747,=,-1.46,0.45
rxn00748,>,-1.3,0.67
rxn00749,>,-55.71,5.24
