cpd_id,has_modelseed,has_group_contribution,has_equilibrator,has_dgpredictor
cpd00842,True,True,True,False
cpd00843,True,True,True,False
cpd00844,True,True,True,False
cpd00845,True,True,True,False
cpd00846,False,False,False,False
cpd00847,True,True,True,False
cpd00848,True,True,False,False
cpd00849,True,True,True,False
cpd00850,True,True,True,False
cpd00851,True,True,True,False
cpd00852,True,True,True,False
cpd00853,True,True,True,False
cpd00854,True,True,True,False
cpd00855,True,True,False,False
cpd00856,True,True,True,False
cpd00857,True,True,True,False
cpd00858,True,True,True,False
cpd00859,True,True,False,False
cpd00860,True,True,False,False
cpd00861,True,True,True,False
cpd00862,True,True,False,False
cpd00863,True,True,True,False
cpd00864,True,True,True,False
cpd00865,True,True,True,False
cpd00866,True,True,True,False
cpd00867,True,True,True,False
cpd00868,True,True,True,False
cpd00869,True,True,True,False
cpd00870,True,True,True,False
cpd00871,True,True,True,False
cpd00872,True,True,False,False
cpd00873,True,True,True,False
cpd00874,True,True,True,False
cpd00875,True,True,True,False
cpd00876,True,True,True,False
cpd00877,True,True,True,False
cpd00878,False,False,False,False
cpd00879,True,True,True,False
cpd00880,True,True,True,False
cpd00881,True,True,True,False
cpd00882,True,True,True,False
cpd00883,False,False,False,False
cpd00884,True,True,True,False
cpd00885,True,True,True,False
cpd00886,True,True,True,False
cpd00887,True,True,True,False
cpd00888,True,True,True,False
cpd00889,False,False,False,False
cpd00890,True,True,True,False
cpd00891,True,True,True,False
cpd00892,True,True,True,False
cpd00893,True,True,True,False
cpd00894,True,True,True,False
cpd00895,True,True,True,False
cpd00896,True,True,True,False
cpd00897,True,True,False,False
cpd00898,True,True,True,False
cpd00899,True,True,True,False
cpd00900,True,True,True,False
cpd00901,False,False,False,False
cpd00902,True,True,True,False
cpd00903,True,True,True,False
cpd00904,True,True,True,False
cpd00905,True,True,True,False
cpd00906,True,True,True,False
cpd00907,False,False,False,False
cpd00908,True,True,False,False
cpd00909,True,True,True,False
cpd00910,True,True,True,False
cpd00911,True,True,True,False
cpd00912,True,True,True,False
cpd00913,False,False,False,False
cpd00914,True,True,True,False
cpd00915,True,True,True,False
cpd00916,True,True,True,False
cpd00917,True,True,True,False
cpd00918,True,True,True,False
cpd00919,True,True,False,False
cpd00920,True,True,True,False
cpd00921,True,True,True,False
cpd00922,True,True,True,False
cpd00923,True,True,True,False
cpd00924,True,True,True,False
cpd00925,True,True,True,False
cpd00926,True,True,True,False
cpd00927,True,True,True,False
cpd00928,True,True,True,False
cpd00929,True,True,True,False
cpd00930,True,True,True,False
cpd00931,True,True,False,False
cpd00932,True,True,True,False
cpd00933,True,True,True,False
cpd00934,True,True,True,False
cpd00935,True,True,True,False
cpd00936,True,True,True,False
cpd00937,True,True,True,False
cpd00938,True,True,True,False
cpd00939,True,True,True,False
cpd00940,True,True,True,False
cpd00941,False,False,False,False
cpd00942,True,True,True,False
cpd00943,True,True,True,False
cpd00944,True,True,True,False
cpd00945,True,True,True,False
cpd00946,True,True,True,False
cpd00947,False,False,False,False
cpd00948,True,True,True,False
cpd00949,True,True,True,False
cpd00950,True,True,True,False
cpd00951,True,True,True,False
cpd00952,True,True,True,False
cpd00953,True,True,True,False
cpd00954,True,True,True,False
cpd00955,True,True,True,False
cpd00956,True,True,True,False
cpd00957,True,True,True,False
cpd00958,True,True,True,False
cpd00959,False,False,False,False
cpd00960,True,True,True,False
cpd00961,True,True,True,False
cpd00962,True,True,True,False
cpd00963,True,True,True,False
cpd00964,True,True,True,False
cpd00965,False,False,False,False
cpd00966,False,False,False,False
cpd00970,False,False,False,False
cpd00971,False,False,False,False
cpd00972,True,True,True,False
cpd00973,True,True,True,False
cpd00975,False,False,False,False
cpd00976,True,True,True,False
cpd00977,True,True,True,False
cpd00978,True,True,True,False
cpd00979,True,True,False,False
cpd00980,True,True,False,False
cpd00981,True,True,False,False
cpd00982,True,True,False,False
cpd00984,False,False,False,False
cpd00985,True,True,False,False
cpd00986,True,True,True,False
cpd00987,False,False,False,False
cpd00988,True,True,True,False
cpd00989,True,True,True,False
cpd00990,True,True,False,False
cpd00991,True,True,False,False
cpd00992,True,True,True,False
cpd00993,False,False,False,False
cpd00994,False,False,False,False
cpd00995,True,True,False,False
cpd00996,True,True,True,False
cpd00997,True,True,True,False
cpd00998,True,True,True,False
cpd00999,True,True,True,False
cpd01000,True,True,True,False
cpd01002,False,False,True,False
cpd01003,True,True,False,False
cpd01004,True,True,True,False
cpd01005,True,True,True,False
cpd01006,True,True,True,False
