radius	group	coef_kJ_per_mol	n_heavy_atoms	n_training_compounds	n_modelseed_compounds
2	O=C([O-])C(=O)[O-]	-6.8966	6	1	2
2	C[C@@](C)(O)C(=O)[O-]	-6.8724	7	1	19
2	CC[C@](C)(O)C(=O)[O-]	-6.8724	8	1	2
1	C[C@](C)(C)O	-6.8724	5	1	345
2	C[C@@](C)(O)CC(=O)[O-]	-6.8724	8	1	11
2	CC[C@@H](C)O	6.8390	5	2	63
2	C/C=C/C[N+]	6.8232	5	1	2
2	C=C/C[N+](C)(C)C	6.8232	7	1	2
2	CC(C)(O)CC(=O)[O-]	-6.7933	8	1	48
2	NCCC(=O)N	-6.7809	6	1	5
2	CCNC(=O)N	-6.7809	6	1	13
2	NCC(=O)[O-]	-6.7578	5	11	249
2	CC(=O)OC(C)C	-6.7501	7	2	249
2	CCC(C[N+])OC	-6.7501	7	1	3
2	CC(O)C[N+](C)(C)C	-6.7501	8	1	12
2	CCC(=O)O	-6.7501	5	1	63
2	CC(O)CC(=O)[O-]	-6.7501	7	1	34
2	cC[C@H]([NH3+])C(=O)[O-]	6.6966	7	4	77
2	C[C@@H](C)OC(=O)C	-6.6705	7	1	123
2	C[C@H]([C@H](O)CO)O	-6.6705	7	1	40
2	CO[C@@H]([C@@H](C)O)[C@H](O)C	-6.6705	9	1	18
1	CC(N)N	6.6696	4	1	40
2	NC(N)C(=O)[O-]	6.6696	6	1	2
2	CNC(NC)C(=O)[O-]	6.6696	8	1	1
2	CC(=O)[C@@H](O)C(=O)[O-]	-6.6641	8	1	3
2	C[C@@H](O)CCC	6.6302	6	5	1167
2	CCC(=O)CC	-6.6245	6	3	356
2	C[C@H](O)[C@@H](O)C(C)(O)O	-6.6109	9	1	1
2	CCCC(C)=C	6.5951	6	1	37
2	C=C(CC)C(=O)[O-]	6.5951	7	1	2
2	Cc(c)cnc	-6.5829	6	2	62
2	ccncc	-6.5829	5	2	168
2	cccnc	-6.5829	5	2	331
2	ccccn	-6.5829	5	2	223
1	CSC	-6.5769	3	31	1939
2	ccc(C(N)=O)cn	-6.5745	8	1	10
2	NC(=O)C[NH3+]	-6.4922	5	1	44
2	CNC(=O)C[NH3+]	-6.4922	6	1	35
2	COC[C@H](C)O	6.4893	6	7	1576
2	CO[C@H](OP)[C@H](O)C	-6.4128	8	17	188
2	C/C(C)=C(/C)C(=O)[O-]	6.3858	8	1	2
2	C[C@H](O)[C@H](O)[C@H](O)C	-6.3788	8	4	252
2	C[C@@H](O)CC(=O)S	-6.3440	7	2	63
2	CCCC(N)=O	-6.3290	6	14	1038
2	CN(C)C(N)=[NH2+]	6.3241	6	1	12
2	CCN(C)C(N)=[NH2+]	6.3241	7	1	9
2	C/C(C)=C\C(=O)[O-]	6.2904	7	2	23
2	C=C(/C)C(=O)[O-]	6.2904	6	2	27
1	C[S-]	6.2509	2	3	88
2	CO[C@H](CO)[C@H](O)C	-6.2090	8	10	763
1	CC(C)C	6.1993	4	11	3064
2	cN(C)C=O	-6.1756	5	1	10
2	cc(N(C=O)CC)c	-6.1756	8	1	4
2	CN(c)C[C@@H](C)N	-6.1756	7	1	4
2	CN(C)c(cc)cc	-6.1756	8	1	33
1	CN(c)C	-6.1756	4	1	90
