rxn	name	ec	dg_eq	dg_dgp	diff	absdiff	definition	cofactors	net_proton	d_charge_sq	n_participants	max_carbon
rxn39504	erythromycin-D,NADPH:oxygen oxidoreductase (12-hydroxylating)	1.14.13.154	-98.050	-96.270	-1.780	1.780	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) Erythromycin D[0] => (1) H2O[0] + (1) NADP[0] + (1) Erythromycin C[0]	h;h2o;nadp;nadph;o2	-1.000	-8.000	7	36
rxn32246	RXN0-363	3.2.2.1;3.2.2.8	-0.540	-2.330	1.790	1.790	(1) H2O[0] + (1) Xanthosine[0] <=> (1) D-Ribose[0] + (1) XAN[0]	h2o	0.000	0.000	4	10
rxn00455	N-Formyl-L-methionine amidohydrolase	3.5.1.31	-5.280	-3.490	-1.790	1.790	(1) H2O[0] + (1) N-Formyl-L-methionine[0] => (1) Formate[0] + (1) L-Methionine[0]	h2o	0.000	0.000	4	6
rxn01545	Xanthosine ribohydrolase	3.2.2.1;3.2.2.8	-0.540	-2.330	1.790	1.790	(1) H2O[0] + (1) Xanthosine[0] <=> (1) D-Ribose[0] + (1) XAN[0]	h2o	0.000	0.000	4	10
rxn15118	Uridine ribohydrolase	3.2.2.3	-6.600	-4.810	-1.790	1.790	(1) H2O[0] + (1) Uridine[0] => (1) Uracil[0] + (1) beta-D-Ribofuranose[0]	h2o	0.000	0.000	4	9
rxn07729	R07939	1.13.12.-;1.14.13.179;1.14.14.1	-99.630	-101.420	1.790	1.790	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) Caffeine[0] => (1) H2O[0] + (1) NADP[0] + (1) Formaldehyde[0] + (1) Paraxanthine[0]	h;h2o;nadp;nadph;o2	-1.000	-8.000	8	21
rxn00233	2,4-dioxopentanoate acetylhydrolase	3.7.1.6	-10.350	-8.550	-1.800	1.800	(1) H2O[0] + (1) Acetylpyruvate[0] => (1) Pyruvate[0] + (1) Acetate[0] + (1) H+[0]	h;h2o	1.000	2.000	5	5
rxn01936	ADPmannose sugarphosphohydrolase	3.6.1.21	-5.490	-7.290	1.800	1.800	(1) H2O[0] + (1) ADP-mannose[0] => (1) AMP[0] + (2) H+[0] + (1) D-Mannose1-phosphate[0]	amp;h;h2o	2.000	6.000	5	16
rxn00457	methionine racemase	5.1.1.2	-0.640	-2.450	1.810	1.810	(1) L-Methionine[0] <=> (1) D-Methionine[0]		0.000	0.000	2	5
rxn04074	ethylene oxide hydrolase	3.3.2.10	6.490	8.300	-1.810	1.810	(1) H2O[0] + (1) Ethylene oxide[0] <= (1) 1,2-Ethanediol[0]	h2o	0.000	0.000	3	2
rxn00797	Uridine ribohydrolase	3.2.2.3;3.2.2.8	-2.990	-4.810	1.820	1.820	(1) H2O[0] + (1) Uridine[0] => (1) Uracil[0] + (1) D-Ribose[0]	h2o	0.000	0.000	4	9
rxn02346	R03277	4.1.2.20	-6.030	-7.850	1.820	1.820	(1) Pyruvate[0] + (1) Tartronate semialdehyde[0] <=> (1) 2-Dehydro-3-deoxy-D-glucarate[0]		0.000	2.000	3	6
rxn39478	D-aspartate:2-oxoglutarate aminotransferase		1.690	-0.130	1.820	1.820	(1) D-Aspartate[0] + (1) D-4-Hydroxy-2-oxoglutarate[0] <=> (1) Oxaloacetate[0] + (1) L-erythro-4-Hydroxyglutamate[0]		0.000	0.000	4	5
rxn03284	5beta-Cholestane-3alpha,7alpha,12alpha-triol,NADPH:oxygen oxidoreductase (26-hydroxylating)	1.14.13.15	-94.130	-95.950	1.820	1.820	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) 3alpha,7alpha,12alpha-Trihydroxycoprostane[0] => (1) H2O[0] + (1) NADP[0] + (1) 5beta-Cholestane-3alpha,7alpha,12alpha,26-tetrol[0]	h;h2o;nadp;nadph;o2	-1.000	-8.000	7	27
rxn03283	5beta-cholestane-3alpha,7alpha-diol,NADPH:oxygen oxidoreductase (26-hydroxylating)	1.14.13.15	-94.130	-95.950	1.820	1.820	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) 5beta-Cholestane-3alpha,7alpha-diol[0] => (1) H2O[0] + (1) NADP[0] + (1) 5beta-Cholestane-3alpha,7alpha,26-triol[0]	h;h2o;nadp;nadph;o2	-1.000	-8.000	7	27
rxn14072	cholesterol 26-hydroxylase	1.14.13.15	-94.130	-95.950	1.820	1.820	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) Cholesterol[0] => (1) H2O[0] + (1) NADP[0] + (1) 26-Hydroxycholesterol[0]	h;h2o;nadp;nadph;o2	-1.000	-8.000	7	27
rxn15856	6'''-deamino-6'''-hydroxyneomycin C:oxygen oxidoreductase	1.1.3.-;1.1.3.44	-26.840	-25.010	-1.830	1.830	(1) O2[0] + (1) 6'''-Deamino-6'''-hydroxyneomycin C[0] => (1) H2O2[0] + (1) 6'''-Deamino-6'''-dehydro-6'''-oxoneomycin C[0]	h2o2;o2	0.000	0.000	4	23
rxn02348	trans-cyclohexane-1,2-diol:NAD+ 1-oxidoreductase	1.1.1.174	-0.280	1.550	-1.830	1.830	(1) NAD[0] + (1) trans-1,2-Cyclohexanediol[0] <=> (1) NADH[0] + (1) H+[0] + (1) 2-Hydroxycyclohexan-1-one[0]	h;nad;nadh	1.000	4.000	5	21
rxn15307	Xanthosine ribohydrolase	3.2.2.1	-4.160	-2.330	-1.830	1.830	(1) H2O[0] + (1) Xanthosine[0] => (1) XAN[0] + (1) beta-D-Ribofuranose[0]	h2o	0.000	0.000	4	10
rxn07445	3-oxo-3-ureidopropanoate amidohydrolase (urea- and malonate-forming)	3.5.1.95	-8.490	-6.650	-1.840	1.840	(1) H2O[0] + (1) Malonuric acid[0] => (1) H+[0] + (1) Urea[0] + (1) Malonate[0]	h;h2o	1.000	4.000	5	4
rxn15163	1-beta-Aspartyl-N-acetyl-D-glucosaminylamine L-asparaginohydrolase	3.2.2.11	5.290	7.130	-1.840	1.840	(1) H2O[0] + (1) N4-(Acetyl-beta-D-glucosaminyl)asparagine[0] <=> (1) L-Asparagine[0] + (1) N-Acetyl-beta-D-glucosamine[0]	h2o	0.000	0.000	4	12
rxn38342	RXN-11502.d	3.2.1.-;3.2.1.22	0.500	-1.340	1.840	1.840	(1) H2O[0] + (1) Melitose[0] <=> (1) Sucrose[0] + (1) alpha-D-Galactose[0]	h2o	0.000	0.000	4	18
rxn15141	Raffinose galactohydrolase	3.2.1.-;3.2.1.22	0.500	-1.340	1.840	1.840	(1) H2O[0] + (1) Melitose[0] <=> (1) Sucrose[0] + (1) alpha-D-Galactose[0]	h2o	0.000	0.000	4	18
rxn03416	R05043		0.000	1.840	-1.840	1.840	(1) Retinene 2[0] <=> (1) 11-cis-Dehydroretinal[0]		0.000	0.000	2	20
rxn01045	L-Valine:NAD+ oxidoreductase(deaminating)	1.4.1.-;1.4.1.23;1.4.1.9	9.230	11.080	-1.850	1.850	(1) H2O[0] + (1) NAD[0] + (1) L-Valine[0] <=> (1) NADH[0] + (1) NH3[0] + (1) H+[0] + (1) 3-Methyl-2-oxobutanoate[0]	h;h2o;nad;nadh;nh3	1.000	6.000	7	21
rxn30554	valine dehydrogenase	1.4.1.-;1.4.1.23;1.4.1.9	9.230	11.080	-1.850	1.850	(1) H2O[0] + (1) NAD[0] + (1) L-Valine[0] <=> (1) NADH[0] + (1) NH3[0] + (1) H+[0] + (1) 3-Methyl-2-oxobutanoate[0]	h;h2o;nad;nadh;nh3	1.000	6.000	7	21
rxn37816	2,3-dehydroadipyl-CoA hydratase	4.2.1.17	-0.180	1.670	-1.850	1.850	(1) (3S)-3-Hydroxyadipyl-CoA[0] <=> (1) H2O[0] + (1) 5-Carboxy-2-pentenoyl-CoA[0]	h2o	0.000	0.000	3	27
rxn37184	methylsterol monooxygenase	1.14.13.72	-316.940	-315.090	-1.850	1.850	(3) NADPH[0] + (3) O2[0] + (2) H+[0] + (1) 4,4-Dimethyl-5alpha-cholest-7-en-3beta-ol[0] => (4) H2O[0] + (3) NADP[0] + (1) 3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylate[0]	h;h2o;nadp;nadph;o2	-2.000	-22.000	7	29
rxn27866	NADH-dependent fumarate reductase	1.3.1.6	14.880	16.740	-1.860	1.860	(1) NAD[0] + (1) Succinate[0] <= (1) NADH[0] + (1) H+[0] + (1) Fumarate[0]	h;nad;nadh	1.000	4.000	5	21
rxn00284	succinate:NAD+ oxidoreductase	1.3.1.6	14.880	16.740	-1.860	1.860	(1) NAD[0] + (1) Succinate[0] <= (1) NADH[0] + (1) H+[0] + (1) Fumarate[0]	h;nad;nadh	1.000	4.000	5	21
