compound	name	formula	charge	n_reactions	offset_eq_minus_dgp
cpd00834	Phosphopantetheine	C11H21N2O7PS	-2	5	-3.847
cpd00452	Phenylacetyl-CoA	C29H38N7O17P3S	-4	5	-3.826
cpd00163	UDP-xylose	C14H20N2O16P2	-2	7	3.808
cpd00691	UDP-L-arabinose	C14H20N2O16P2	-2	5	3.793
cpd01735	Glucurone	C6H8O6	0	7	3.755
cpd09027	5-Hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate	C5H5N4O5	-1	5	-3.705
cpd02113	dTDP-rhamnose	C16H24N2O15P2	-2	7	3.702
cpd00013	NH3	H4N	1	396	-3.690
cpd00211	Butyrate	C4H7O2	-1	5	3.668
cpd19035	beta-D-Fructose 6-phosphate	C6H11O9P	-2	26	-3.662
cpd03124	Hexanoyl-CoA	C27H42N7O17P3S	-4	9	3.638
cpd00650	Crotonyl-CoA	C25H36N7O17P3S	-4	21	3.623
cpd00082	D-Fructose	C6H12O6	0	34	3.620
cpd00359	indol	C8H7N	0	13	-3.576
cpd02595	p-Coumaroyl quinic acid	C16H17O8	-1	7	3.574
cpd03279	Deoxyinosine	C10H12N4O4	0	5	3.565
cpd00859	Pseudouridine 5'-phosphate	C9H11N2O9P	-2	5	-3.531
cpd00107	L-Leucine	C6H13NO2	0	8	-3.529
cpd00046	CMP	C9H12N3O8P	-2	7	-3.477
cpd00083	GDP-mannose	C16H23N5O16P2	-2	9	3.465
cpd00225	Benzaldehyde	C7H6O	0	9	-3.445
cpd00118	Putrescine	C4H14N2	2	30	3.442
cpd03127	(2E)-Tetradecenoyl-CoA	C35H56N7O17P3S	-4	8	-3.440
cpd00246	Inosine	C10H12N4O5	0	16	3.437
cpd19069	Phenylacetic acid	C8H7O2	-1	6	-3.408
cpd00144	UDPglucuronate	C15H19N2O18P2	-3	14	-3.387
cpd00472	UDPgalacturonate	C15H19N2O18P2	-3	7	-3.384
cpd00128	Adenine	C5H5N5	0	14	-3.372
cpd00347	5-10-Methenyltetrahydrofolate	C20H20N7O6	-1	11	3.357
cpd00408	Pantoate	C6H11O4	-1	6	3.329
cpd00501	beta-D-Glucose 1-phosphate	C6H11O9P	-2	13	3.300
cpd00203	1,3-Bisphospho-D-glycerate	C3H4O10P2	-4	11	-3.293
cpd00762	4-Guanidinobutanoate	C5H11N3O2	0	7	-3.281
cpd00071	Acetaldehyde	C2H4O	0	45	3.273
cpd00138	D-Mannose	C6H12O6	0	5	3.217
cpd00210	Taurine	C2H7NO3S	0	12	3.177
cpd00027	D-Glucose	C6H12O6	0	60	3.103
cpd02605	2-isopropyl-3-oxosuccinate	C7H8O5	-2	6	3.098
