rxn	name	ec	dg_eq	dg_dgp	diff	absdiff	definition	cofactors	net_proton	d_charge_sq	n_participants	max_carbon
rxn03149	R04593		6.250	23.660	-17.410	17.410	(1) H+[0] + (1) 5-Pyridoxate[0] <= (1) H2O[0] + (1) 5-Pyridoxolactone[0]	h;h2o	-1.000	-2.000	4	8
rxn02145	4-Pyridoxolactone lactonohydrolase	3.1.1.27	-6.330	-23.720	17.390	17.390	(1) H2O[0] + (1) 4-Pyridoxolactone[0] => (1) H+[0] + (1) 4-Pyridoxate[0]	h;h2o	1.000	2.000	4	8
rxn33943	Glutamate Dehyrdogenase (NADP)	1.4.1.3;1.4.1.4	-8.720	8.640	-17.360	17.360	(1) NADPH[0] + (1) NH3[0] + (1) 2-Oxoglutarate[0] + (1) H+[0] <=> (1) H2O[0] + (1) NADP[0] + (1) L-Glutamate[0]	glu;h;h2o;nadp;nadph;nh3	-1.000	-12.000	7	21
rxn04024	trans-feruloyl-CoA hydro-lyase	4.2.1.101	0.180	17.520	-17.340	17.340	(1) H2O[0] + (1) Feruloyl-CoA[0] <=> (1) 4-Hydroxy-3-methoxyphenyl-beta-hydroxypropionyl-CoA[0]	h2o	0.000	0.000	3	31
rxn28087	PROPCOASYN-RXN.m	1.3.99.3	-10.530	6.760	-17.290	17.290	(1) Acrylyl-CoA[0] + (1) FADH2[0] => (1) FAD[0] + (1) Propionyl-CoA[0]	fad;fadh2	0.000	0.000	4	27
rxn32155	Propanoyl-CoA:(acceptor) 2,3-oxidoreductase	1.3.99.3	-10.530	6.760	-17.290	17.290	(1) Acrylyl-CoA[0] + (1) FADH2[0] => (1) FAD[0] + (1) Propionyl-CoA[0]	fad;fadh2	0.000	0.000	4	27
rxn03712	R05412	1.13.11.-	-75.170	-92.460	17.290	17.290	(1) O2[0] + (1) 1,2-Dihydroxyfluorene[0] => (1) H+[0] + (1) 2-Hydroxy-4-(2-oxo-1,3-dihydro-2H-inden-1-ylidene)but-2-enoic acid[0]	h;o2	1.000	2.000	4	13
rxn16467	(S)-beta-macrocarpene lyase (decyclizing)	5.5.1.17	-28.060	-10.790	-17.270	17.270	(1) beta-Bisabolene[0] => (1) (S)-beta-Macrocarpene[0]		0.000	0.000	2	15
rxn00719	5,6-Dihydrouracil:NAD+ oxidoreductase	1.3.1.1	0.610	17.840	-17.230	17.230	(1) NAD[0] + (1) Hydrouracil[0] <=> (1) NADH[0] + (1) H+[0] + (1) Uracil[0]	h;nad;nadh	1.000	4.000	5	21
rxn03479	R05130		-8.340	8.800	-17.140	17.140	(1) Piperideine[0] + (1) Pelletierine[0] <=> (1) Anapheline[0]		0.000	2.000	3	13
rxn03922	R05650	1.13.11.-	-86.230	-103.340	17.110	17.110	(1) O2[0] + (1) Phenanthrene-3,4-diol[0] => (1) H+[0] + (1) 2-Hydroxy-2H-benzo[h]chromene-2-carboxylate[0]	h;o2	1.000	2.000	4	14
rxn02844	R04051	2.6.1.-	1.600	18.680	-17.080	17.080	(1) L-Glutamate[0] + (1) 3-Phosphonopyruvate[0] <=> (1) 2-Oxoglutarate[0] + (1) Phosphonoalanine[0]	glu	0.000	0.000	4	5
rxn40410	chorismate hydro-lyase (3-[(1-carboxyvinyl)oxy]benzoate-forming)	4.2.1.151	-26.750	-9.720	-17.030	17.030	(1) Chorismate[0] => (1) H2O[0] + (1) 3-[(1-Carboxyvinyl)oxy]benzoate[0]	h2o	0.000	0.000	3	10
rxn32388	Citrate (si)-synthase	2.3.3.1;2.3.3.16;2.3.3.3;4.1.3.7	-8.600	8.330	-16.930	16.930	(1) H2O[0] + (1) Acetyl-CoA[0] + (1) Oxaloacetate[0] => (1) CoA[0] + (1) H+[0] + (1) Citrate[0]	coa;h;h2o	1.000	6.000	6	23
rxn27765	citric-condensing enzyme	2.3.3.1;2.3.3.16;2.3.3.3;4.1.3.7	-8.600	8.330	-16.930	16.930	(1) H2O[0] + (1) Acetyl-CoA[0] + (1) Oxaloacetate[0] => (1) CoA[0] + (1) H+[0] + (1) Citrate[0]	coa;h;h2o	1.000	6.000	6	23
rxn19316	citrate condensing enzyme	2.3.3.1;2.3.3.16;2.3.3.3;4.1.3.7	-8.600	8.330	-16.930	16.930	(1) H2O[0] + (1) Acetyl-CoA[0] + (1) Oxaloacetate[0] => (1) CoA[0] + (1) H+[0] + (1) Citrate[0]	coa;h;h2o	1.000	6.000	6	23
rxn34204	citrate synthase	2.3.3.1;2.3.3.16;2.3.3.3;4.1.3.7	-8.600	8.330	-16.930	16.930	(1) H2O[0] + (1) Acetyl-CoA[0] + (1) Oxaloacetate[0] => (1) CoA[0] + (1) H+[0] + (1) Citrate[0]	coa;h;h2o	1.000	6.000	6	23
rxn30154	Homocitrate synthase, mitochondrial isozyme	2.3.3.14;4.1.3.21	6.930	-9.940	16.870	16.870	(1) CoA[0] + (1) H+[0] + (1) Homocitrate[0] <= (1) H2O[0] + (1) Acetyl-CoA[0] + (1) 2-Oxoglutarate[0]	coa;h;h2o	-1.000	-6.000	6	23
rxn00202	acetyl-CoA:2-oxoglutarate C-acetyltransferase (thioester-hydrolysing, carboxymethyl forming)	2.3.3.14;4.1.3.21	6.930	-9.940	16.870	16.870	(1) CoA[0] + (1) H+[0] + (1) Homocitrate[0] <= (1) H2O[0] + (1) Acetyl-CoA[0] + (1) 2-Oxoglutarate[0]	coa;h;h2o	-1.000	-6.000	6	23
