compound	name	formula	charge	n_reactions	offset	abs_offset	mass	eq_uncertainty	heavy_atoms	n_rings	n_arom_atoms	n_conj_bonds	frac_conj	n_stereo	n_rotatable	logp	n_distinct_r1_frags	frag_failures
cpd00425	(CH3)2NH	C2H8N	1	6	-9.3860	9.3860	46.0000	0.7141	3	0	0	0	0.0000	0	0	-1.1906	2	0
cpd00794	TRHL	C12H22O11	0	17	9.3050	9.3050	342.0000	0.3534	23	2	0	0	0.0000	10	4	-5.3972	7	0
cpd00274	Citrulline	C6H13N3O3	0	18	-9.2820	9.2820	175.0000	1.0619	12	0	0	5	0.4545	1	5	-3.2047	10	0
cpd03114	3-Oxopalmitoyl-CoA	C37H60N7O18P3S	-4	6	-9.2500	9.2500	1016.0000		66	3	9	15	0.2206	7	33	0.7970	32	0
cpd03125	(2E)-Hexenoyl-CoA	C27H40N7O17P3S	-4	8	9.1930	9.1930	860.0000		55	3	9	18	0.3158	7	22	-2.5070	33	0
cpd03844	alpha-Cellobiose	C12H22O11	0	5	9.1400	9.1400	342.0000	0.5385	23	2	0	0	0.0000	10	4	-5.3972	8	0
cpd00093	Anthranilate	C7H6NO2	-1	19	-9.0980	9.0980	136.0000	0.6949	10	1	6	10	1.0000	0	1	-0.3677	7	0
cpd00331	cis-Aconitate	C6H3O6	-3	18	-9.0650	9.0650	171.0000	0.3750	12	0	0	9	0.8182	0	4	-4.4474	6	0
cpd00070	Malonyl-CoA	C24H33N7O19P3S	-5	50	-9.0060	9.0060	849.0000	1.8438	54	3	9	17	0.3036	7	21	-5.7233	33	0
cpd00373	Sinapate	C11H11O5	-1	6	-8.9950	8.9950	223.0000	1.9385	16	1	6	14	0.8750	0	4	0.1725	11	0
cpd03118	(S)-Hydroxydecanoyl-CoA	C31H50N7O18P3S	-4	6	8.9300	8.9300	934.0000		60	3	9	15	0.2419	8	27	-1.7518	31	0
cpd15073	3-Methylxanthine	C6H6N4O2	0	6	-8.7340	8.7340	166.0000		12	2	9	12	0.9231	0	0	-0.2739	9	0
cpd00178	Acetone	C3H6O	0	6	8.7240	8.7240	58.0000	0.5106	4	0	0	0	0.0000	0	0	0.5953	3	0
cpd00428	2-Oxopropanal	C3H4O2	0	23	8.6690	8.6690	72.0000	0.4198	5	0	0	3	0.7500	0	1	-0.2257	4	0
cpd01123	Maleamate	C4H4NO3	-1	6	8.5410	8.5410	114.0000	0.5252	8	0	0	7	1.0000	0	2	-2.2222	6	0
cpd00778	2,5-Dihydroxypyridine	C5H5NO2	0	6	-8.5410	8.5410	111.0000	0.8732	8	1	6	8	1.0000	0	0	0.0805	7	0
cpd00076	Sucrose	C12H22O11	0	32	8.4850	8.4850	342.0000	0.3618	23	2	0	0	0.0000	9	5	-5.3956	8	0
cpd03526	N-Succinyl-L-glutamate 5-semialdehyde	C9H11NO6	-2	6	-8.4590	8.4590	229.0000	0.6064	16	0	0	6	0.4000	1	8	-3.2697	8	0
cpd02799	Methylisocitrate	C7H7O7	-3	8	-8.4540	8.4540	203.0000	0.5276	14	0	0	6	0.4615	2	5	-5.0066	8	0
cpd02024	Phosphonoacetaldehyde	C2H4O4P	-1	5	-8.4290	8.4290	122.0000	1.7395	7	0	0	0	0.0000	1	2	-1.2690	7	0
cpd03375	3-Hydroxypropanoyl-CoA	C24H36N7O18P3S	-4	8	8.3840	8.3840	836.0000	1.8411	53	3	9	15	0.2727	7	21	-4.4809	31	0
cpd00106	Fumarate	C4H2O4	-2	34	-8.3830	8.3830	114.0000		8	0	0	7	1.0000	0	2	-2.9576	4	0
cpd01716	3-Dehydroshikimate	C7H7O5	-1	8	-8.3800	8.3800	171.0000		12	1	0	6	0.5000	2	1	-2.6427	9	0
cpd00130	L-Malate	C4H4O5	-2	35	-8.2920	8.2920	132.0000		9	0	0	4	0.5000	1	3	-3.7628	6	0
cpd02625	3-Hydroxy-L-1-pyrroline-5-carboxylate	C5H6NO3	-1	14	8.2190	8.2190	128.0000	1.2254	9	1	0	2	0.2222	2	1	-2.0597	9	0
cpd03105	Acetol	C3H6O2	0	5	8.2180	8.2180	74.0000	0.1611	5	0	0	0	0.0000	0	1	-0.4323	5	0
cpd02498	2,3-Dihydroxy-isovalerate	C5H9O4	-1	9	-8.1520	8.1520	133.0000	0.3805	9	0	0	2	0.2500	1	2	-2.1319	7	0
cpd00361	ACTN	C4H8O2	0	8	8.1220	8.1220	88.0000	0.2998	6	0	0	0	0.0000	1	1	-0.0438	5	0
cpd01646	2-Isopropylmalate	C7H10O5	-2	6	-8.0260	8.0260	174.0000	0.4733	12	0	0	4	0.3636	1	4	-2.7366	8	0
cpd00458	Coniferol	C10H12O3	0	10	8.0210	8.0210	180.0000	1.1733	13	1	6	10	0.7692	0	3	1.4063	9	0
cpd00026	UDP-glucose	C15H22N2O17P2	-2	7	7.9860	7.9860	564.0000		36	3	6	8	0.2105	11	9	-6.0577	20	0
cpd00434	4-Aminobutanal	C4H10NO	1	16	7.7100	7.7100	88.0000	0.3922	6	0	0	0	0.0000	0	3	-0.7926	5	0
cpd00867	Inositol 1-phosphate	C6H11O9P	-2	5	-7.5640	7.5640	259.0000	1.7735	16	1	0	0	0.0000	6	2	-4.9816	7	0
cpd03122	(S)-Hydroxyhexanoyl-CoA	C27H42N7O18P3S	-4	6	7.5630	7.5630	878.0000		56	3	9	15	0.2586	8	23	-3.3122	31	0
cpd03128	Decanoyl-CoA	C31H50N7O17P3S	-4	8	-7.5420	7.5420	918.0000		59	3	9	15	0.2459	7	27	-0.7226	31	0
cpd00136	4-Hydroxybenzoate	C7H5O3	-1	17	-7.4480	7.4480	137.0000	0.6424	10	1	6	10	1.0000	0	1	-0.2443	7	0
cpd03530	L-4-Hydroxyglutamatesemialdehyde	C5H9NO4	0	6	7.4460	7.4460	147.0000	0.3280	10	0	0	2	0.2222	2	4	-3.7033	9	0
cpd08289	1-deoxy-D-xylulose5-phosphate	C5H9O7P	-2	5	7.3820	7.3820	213.0000	0.2958	13	0	0	0	0.0000	2	5	-2.8575	10	0
