family	n	r_gc_eq	rho_gc_eq	mad_gc_eq	n_gc_eq	null_r_gc_eq	excess_gc_eq	p_gc_eq	r_gc_dgp	rho_gc_dgp	mad_gc_dgp	n_gc_dgp	null_r_gc_dgp	excess_gc_dgp	p_gc_dgp	r_eq_dgp	rho_eq_dgp	mad_eq_dgp	n_eq_dgp	null_r_eq_dgp	excess_eq_dgp	p_eq_dgp	median_abs_dg_gc	iqr_dg_gc
contains P	5288	0.8387	0.7216	3.3800	5288	0.8407	-0.0020	0.9125	0.7255	0.6204	5.5800	5288	0.7482	-0.0228	0.8475	0.6960	0.7128	2.8300	5288	0.6858	0.0102	0.7925	7.2200	16.4725
group present: phosphate	5280	0.8384	0.7212	3.3800	5280	0.8396	-0.0012	0.9625	0.7251	0.6199	5.5450	5280	0.7537	-0.0286	0.8250	0.6955	0.7122	2.8300	5280	0.6866	0.0089	0.8200	7.2200	16.4025
cofactor: h2o2	286	0.8662	0.6647	1.5300	286	0.7134	0.1528	0.0100	0.7170	0.6313	3.1100	286	0.7504	-0.0334	0.6325	0.7040	0.7544	2.6750	286	0.6076	0.0964	0.1800	26.9550	18.0100
max carbon 7-20	3280	0.6475	0.5921	7.2150	3280	0.7837	-0.1362	0.0000	0.7102	0.5178	8.2850	3280	0.7195	-0.0093	0.9600	0.5680	0.6536	3.1750	3280	0.6273	-0.0593	0.2475	8.4800	14.0350
KEGG id shared by >50 reactions	165	0.9588	0.6757	4.3500	165	0.8446	0.1142	0.0975	0.7081	0.5203	7.0400	165	0.7944	-0.0863	0.5525	0.7456	0.7535	3.5200	165	0.6970	0.0486	0.6975	7.2200	22.3900
no N	2006	0.8537	0.7381	4.1300	2006	0.8333	0.0204	0.4175	0.7037	0.6527	5.8950	2006	0.7495	-0.0458	0.7050	0.4887	0.7276	3.9500	2006	0.6675	-0.1787	0.0000	7.8350	22.6200
group present: sulfate_ester	73	0.2305	0.0418	45.0900	73	0.7564	-0.5260	0.0000	0.7022	0.5466	10.6700	73	0.8053	-0.1030	0.3050	-0.0862	-0.1072	59.2600	73	0.6257	-0.7119	0.0000	14.0300	11.8100
group changes: hydroxyl	4020	0.8800	0.7074	2.9300	4020	0.8554	0.0246	0.1025	0.6923	0.6476	6.2700	4020	0.7995	-0.1072	0.1150	0.6935	0.7024	3.2100	4020	0.7193	-0.0258	0.5300	7.2200	16.3300
max mass 200-500 Da	2296	0.7862	0.6203	6.6850	2296	0.8211	-0.0349	0.2400	0.6918	0.5538	8.4650	2296	0.7074	-0.0156	0.9400	0.5452	0.6419	4.1650	2296	0.6352	-0.0901	0.1125	7.2200	16.3400
2-3 group types change	3190	0.7555	0.6100	3.3350	3190	0.7987	-0.0433	0.1550	0.6889	0.4698	6.8650	3190	0.7480	-0.0591	0.6250	0.5249	0.5495	3.2300	3190	0.6547	-0.1298	0.0050	6.9000	13.3000
group changes: disulfide	41	0.8749	0.6767	18.1700	41	0.8511	0.0238	0.9125	0.6806	0.3157	17.8600	41	0.3571	0.3235	0.3400	0.7761	0.6948	0.9000	41	0.3247	0.4514	0.0925	21.9700	34.0500
aliphatic ring only	1215	0.8287	0.6528	4.1000	1215	0.8177	0.0109	0.7925	0.6720	0.6225	6.1600	1215	0.7222	-0.0501	0.7000	0.5134	0.6940	3.8500	1215	0.6383	-0.1249	0.1275	7.2200	16.3250
group present: acetal	1487	0.7747	0.4021	2.5800	1487	0.7811	-0.0064	0.9250	0.6649	0.4042	5.1700	1487	0.7369	-0.0719	0.6300	0.6340	0.5720	2.5700	1487	0.6290	0.0050	0.9600	3.1100	7.8150
group changes: carboxylate	1741	0.8338	0.6942	2.3100	1741	0.8212	0.0126	0.6550	0.6602	0.5847	4.5000	1741	0.8284	-0.1682	0.0650	0.7212	0.6399	3.7700	1741	0.7166	0.0046	0.9125	8.0400	13.4300
group present: disulfide	49	0.3284	0.5177	18.2700	49	0.8509	-0.5225	0.0000	0.6580	0.2138	17.8600	49	0.3792	0.2788	0.4925	0.4549	0.7374	0.8000	49	0.3092	0.1457	0.6775	14.5200	30.1900
max|coeff| > 2	231	0.9420	0.8252	18.3700	231	0.9368	0.0052	0.7900	0.6416	0.8951	10.0900	231	0.9016	-0.2599	0.0250	0.7656	0.7925	17.4900	231	0.8615	-0.0959	0.1175	37.5900	112.4300
EC 5 isomerase	449	0.8926	0.4927	1.6400	449	0.8152	0.0774	0.3050	0.6379	0.2403	2.6400	449	0.8092	-0.1713	0.1100	0.6982	0.4768	1.7300	449	0.7083	-0.0101	0.9125	0.8900	1.5600
no rings	1353	0.9282	0.7265	2.2600	1353	0.7977	0.1305	0.0050	0.6314	0.6314	3.2000	1353	0.7457	-0.1143	0.2825	0.4347	0.7436	1.6300	1353	0.6429	-0.2082	0.0150	4.7200	12.1100
group changes: acetal	427	0.8921	0.6773	2.0000	427	0.8142	0.0779	0.3500	0.5900	0.6080	3.7300	427	0.7756	-0.1856	0.1300	0.7600	0.7008	2.3400	427	0.6682	0.0918	0.4450	2.9000	8.3400
cofactor: coa	541	0.2783	0.5721	1.4000	541	0.6476	-0.3694	0.0000	0.5378	0.4641	3.7200	541	0.5441	-0.0063	0.9850	0.2630	0.4717	2.4500	541	0.4417	-0.1787	0.2475	5.7500	7.0800
group changes: thiol	622	0.2948	0.5287	1.9050	622	0.6393	-0.3445	0.0025	0.5037	0.4577	3.8900	622	0.5036	0.0001	1.0000	0.2654	0.5036	2.7900	622	0.4196	-0.1542	0.2550	5.7500	7.0800
sum|coeff| <= 6	6985	0.7431	0.6321	2.8700	6985	0.8055	-0.0623	0.0050	0.4984	0.5248	5.1700	6985	0.6919	-0.1936	0.0100	0.4589	0.6175	2.8500	6985	0.6248	-0.1659	0.0000	5.7200	14.2600
