rxn	name	kegg_ids_staged	kegg_ids_alias	kegg_max_reuse	vouched	participant_overlap	dg_dgpredictor	keep	reason
rxn15858	R08904	R08904	R08904	1	1	1.000	-0.19	1	kegg_id_is_modelseed_alias
rxn15864	gamma-L-glutamyl-butirosin-B gamma-glutamyltransferase (cyclizing)	R08910	R08910	1	1	1.000	2.19	1	kegg_id_is_modelseed_alias
rxn15865	R08911	R08911	R08911	1	1		1.9	1	kegg_id_is_modelseed_alias
rxn15866	menth-8-ene-1,2-diol:NAD+ oxidoreductase	R08919	R08919	3	1	0.000	4.2	1	kegg_id_is_modelseed_alias
rxn15867	menth-8-ene-1,2-diol:NAD+ oxidoreductase	R08919	R08919	3	1	0.000	4.2	1	kegg_id_is_modelseed_alias
rxn15868	R08927	R08927	R08927	1	1		12.61	1	kegg_id_is_modelseed_alias
rxn15872	dTDP-4-amino-2,3,4,6-tetradeoxy-D-glucose:2-oxoglutarate aminotransferase	R08931	R08931	1	1	1.000	0.56	1	kegg_id_is_modelseed_alias
rxn15873	S-adenosyl-L-methionine:dTDP-4-amino-2,3,4,6-tetradeoxy-D-glucose N-methyltransferase (dTDP-D-forosamine-forming)	R08932	R08932	1	1	0.750	8.84	1	kegg_id_is_modelseed_alias
rxn15874	dTDP-6-deoxy-L-mannose:NADP+ 4-oxidoreductase (3,5-epimerizing)	R08935	R08935	1	1	0.500	9.77	1	kegg_id_is_modelseed_alias
rxn15875	acetyl-CoA:phosphinothricin N-acetyltransferase	R08938	R08938	2	1	0.333	-6.97	1	kegg_id_is_modelseed_alias
rxn15876	ADP-glucose: D-glucose 1-alpha-D-glucosyltransferase	R08946	R08946	3	1	0.000	-3.73	1	kegg_id_is_modelseed_alias
rxn15877	ADP-glucose: D-glucose 1-alpha-D-glucosyltransferase	R08946	R08946	3	1	0.000	-3.73	1	kegg_id_is_modelseed_alias
rxn15878	GDP-mannose: D-fructose-6-phosphate 2-alpha-D-mannosyltransferase	R08947	R08947	2	1	0.500	-1.14	1	kegg_id_is_modelseed_alias
rxn15879	R08953	R08953	R08953	1	1		10.35	1	kegg_id_is_modelseed_alias
