rxn	name	ec	status	equation	definition	dg_gc	dg_eq	dg_dgp	max_abs_pairdiff	dg_range3	n_participants	sum_abs_coeff	max_mass	max_carbon	elements	cofactors	n_kegg_with_dg	kegg_spread_kcal	all_have_smiles	n_generic_formula	total_rings	total_arom_rings	n_groups_changed	is_transport
rxn05053	(S)-N-acetylphenylethylamine:H2O hydrolase	3.5.1.85	OK	(1) cpd00001[0] + (1) cpd04127[0] <=> (1) cpd00029[0] + (1) cpd03161[0]	(1) H2O[0] + (1) N-Acetylphenylethylamine[0] <=> (1) Acetate[0] + (1) Phenethylamine[0]	-2.000	-2.030	-4.200	2.200	2.200	4	4.000	163.000	10	C;H;N;O	h2o	1	0.000	1	0	2	2	3	0
rxn00292	UDP-N-acetyl-D-glucosamine 2-epimerase	3.2.1.183;5.1.3.14	OK	(1) cpd00001[0] + (1) cpd00037[0] => (1) cpd00014[0] + (1) cpd00492[0]	(1) H2O[0] + (1) UDP-N-acetylglucosamine[0] => (1) UDP[0] + (1) N-Acetyl-D-mannosamine[0]	-4.810	-7.010	-5.430	2.200	2.200	4	4.000	605.000	17	C;H;N;O;P	h2o	1	0.000	1	0	6	2	1	0
rxn15346	Propane-1,2-diol:NAD+ 1-oxidoreductase	1.1.1.21;1.1.1.71	OK	(1) cpd00006[0] + (1) cpd01861[0] <=> (1) cpd00005[0] + (1) cpd00067[0] + (1) cpd00693[0]	(1) NADP[0] + (1) (R)-1,2-Propanediol[0] <=> (1) NADPH[0] + (1) H+[0] + (1) D-Lactaldehyde[0]	5.220	4.890	7.090	2.200	2.200	5	5.000	742.000	21	C;H;N;O;P	h;nadp;nadph	1	0.000	1	0	10	5	5	0
rxn02448	R03408	1.14.14.1	OK	(1) cpd00005[0] + (1) cpd00007[0] + (1) cpd00067[0] + (1) cpd00904[0] => (1) cpd00001[0] + (1) cpd00006[0] + (1) cpd03059[0]	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) DHA[0] => (1) H2O[0] + (1) NADP[0] + (1) 16alpha-Hydroxydehydroepiandrosterone[0]	-96.190	-97.200	-95.000	2.200	2.200	7	7.000	742.000	21	C;H;N;O;P	h;h2o;nadp;nadph;o2	1	0.000	1	0	18	5	4	0
rxn37185	methylsterol monooxygenase	1.14.13.72	OK	(3) cpd00004[0] + (3) cpd00007[0] + (2) cpd00067[0] + (1) cpd02759[0] => (4) cpd00001[0] + (3) cpd00003[0] + (1) cpd02939[0]	(3) NADH[0] + (3) O2[0] + (2) H+[0] + (1) 4,4-Dimethyl-5alpha-cholest-7-en-3beta-ol[0] => (4) H2O[0] + (3) NAD[0] + (1) 3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylate[0]	-314.720	-316.930	-316.840	2.210	2.210	7	17.000	663.000	29	C;H;N;O;P	h;h2o;nad;nadh;o2	1	0.000	1	0	18	5	4	0
rxn37184	methylsterol monooxygenase	1.14.13.72	OK	(3) cpd00005[0] + (3) cpd00007[0] + (2) cpd00067[0] + (1) cpd02759[0] => (4) cpd00001[0] + (3) cpd00006[0] + (1) cpd02939[0]	(3) NADPH[0] + (3) O2[0] + (2) H+[0] + (1) 4,4-Dimethyl-5alpha-cholest-7-en-3beta-ol[0] => (4) H2O[0] + (3) NADP[0] + (1) 3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylate[0]	-314.720	-316.940	-315.090	2.220	2.220	7	17.000	742.000	29	C;H;N;O;P	h;h2o;nadp;nadph;o2	1	0.000	1	0	18	5	4	0
rxn07790	R08000		CI:2	(1) cpd15121[0] => (2) cpd00067[0] + (1) cpd06643[0]	(1) 5-Deoxyleucopelargonidin[0] => (2) H+[0] + (1) Garbanzol[0]	-14.050	-15.730	-16.270	2.220	2.220	3	4.000	274.000	15	C;H;O	h	1	0.000	1	0	6	4	2	0
rxn39689	Abietadienol,NADPH:oxygen oxidoreductase (18-hydroxylating)		OK	(1) cpd00005[0] + (1) cpd00007[0] + (1) cpd00067[0] + (1) cpd08680[0] => (2) cpd00001[0] + (1) cpd00006[0] + (1) cpd08685[0]	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) Abietol[0] => (2) H2O[0] + (1) NADP[0] + (1) Abietal[0]	-103.560	-104.630	-105.780	2.220	2.220	7	8.000	742.000	21	C;H;N;O;P	h;h2o;nadp;nadph;o2	1	0.000	1	0	16	5	5	0
rxn11559	pyridoxal:oxygen 4-oxidoreductase	1.2.3.1;1.2.3.8	OK	(1) cpd00001[0] + (1) cpd00007[0] + (1) cpd00215[0] => (1) cpd00025[0] + (1) cpd00067[0] + (1) cpd00631[0]	(1) H2O[0] + (1) O2[0] + (1) Pyridoxal[0] => (1) H2O2[0] + (1) H+[0] + (1) 4-Pyridoxate[0]	-41.510	-40.710	-42.930	2.220	2.220	6	6.000	182.000	8	C;H;N;O	h;h2o;h2o2;o2	1	0.000	1	0	2	2	3	0
rxn00255	4-carboxy-4-hydroxy-2-oxoadipate oxaloacetate-lyase (pyruvate-forming)	4.1.3.17	OK	(1) cpd02544[0] <=> (1) cpd00020[0] + (1) cpd00032[0]	(1) 4-Carboxy-4-hydroxy-2-oxoadipate[0] <=> (1) Pyruvate[0] + (1) Oxaloacetate[0]	3.170	5.060	2.840	2.220	2.220	3	3.000	217.000	7	C;H;O		1	0.000	1	0	0	0	2	0
rxn01107	D-Glucono-1,5-lactone lactonohydrolase	3.1.1.17	OK	(1) cpd00001[0] + (1) cpd00170[0] => (1) cpd00067[0] + (1) cpd00222[0]	(1) H2O[0] + (1) Gluconolactone[0] => (1) H+[0] + (1) GLCN[0]	-5.480	-6.800	-4.570	2.230	2.230	4	4.000	195.000	6	C;H;O	h;h2o	1	0.000	1	0	1	0	4	0
rxn33740	L-Cysteate:2-oxoglutarate aminotransferase	2.6.1.1	OK	(1) cpd00024[0] + (1) cpd00395[0] <=> (1) cpd00023[0] + (1) cpd03285[0]	(1) 2-Oxoglutarate[0] + (1) L-Cysteate[0] <=> (1) L-Glutamate[0] + (1) 3-Sulfopyruvate[0]	0.000	-2.230	-2.210	2.230	2.230	4	4.000	168.000	5	C;H;N;O;S	glu	1	0.000	1	0	0	0	0	0
