rxn	name	ec_class	dg_gc	dg_eq	dg_dgp	cluster
rxn00202	acetyl-CoA:2-oxoglutarate C-acetyltransferase (thioester-hydrolysing, carboxymethyl forming)	2;4	8.920	6.930	-9.940	-1
rxn00203	2-Oxoglutarate carboxy-lyase	4	-4.090	-4.140	-7.290	-1
rxn00204	oxalate:oxygen oxidoreductase	1	-40.430	-39.150	-39.340	32
rxn00205	glutathione:hydrogen-peroxide oxidoreductase	1	-55.100	-74.090	-74.050	-1
rxn00208	Pyridoxamine-5'-phosphate:oxygen oxidoreductase (deaminating)	1	-25.570	-23.360	-23.300	34
rxn00209	Pyridoxine 5-phosphate:oxygen oxidoreductase	1	-28.040	-27.090	-24.930	34
rxn00210	D-Glutamate:oxygen oxidoreductase (deaminating)	1	-23.020	-23.140	-23.030	34
rxn00211	UDP-glucose:NAD+ 6-oxidoreductase	1	-4.580	-4.280	1.870	9
rxn00212	UDP-glucose glucophosphohydrolase	3	-28.370	-7.080	-7.930	30
rxn00213	UTP:alpha-D-glucose-1-phosphate uridylyltransferase	2	1.070	0.030	-0.030	-1
rxn00215	UDP-glucose 4,6-hydro-lyase (UDP-4-dehydro-6-deoxy-D-glucose-forming)	4	-13.900	-15.710	-8.280	-1
rxn00216	ATP:D-glucose 6-phosphotransferase	2	-14.030	-4.010	-3.430	36
rxn00217	D-Glucose:NAD+ 1-oxidoreductase	1	-2.000	-1.020	-0.200	-1
rxn00218	D-Glucose:NADP+ 1-oxidoreductase	1	-1.760	-2.590	2.910	9
rxn00219	D-glucose:oxygen 2-oxidoreductase	1	-29.410	-31.600	-21.510	-1
rxn00220	D-Glucose-6-phosphate phosphohydrolase	3	7.220	-2.150	-2.960	2
rxn00221	D-Glucose-1-phosphate phosphohydrolase	3	7.220	-4.860	-4.490	2
rxn00222	cellobiose glucohydrolase	3	-3.110	-3.440	-2.880	31
rxn00223	D-glucose aldose-ketose-isomerase	5	-0.890	0.190	0.210	-1
rxn00225	ATP:acetate phosphotransferase	2	-5.360	3.410	3.200	0
rxn00226	ATP:acetate adenylyltransferase	6	-9.590	281.500	13.940	-1
rxn00227	Acetyl phosphate phosphohydrolase	3	-1.450	-9.570	-9.600	-1
rxn00228	Phosphonoacetate phosphonohydrolase	3	-16.620	-20.130	-39.000	-1
rxn00229	(S)-lactate:oxygen 2-oxidoreductase (decarboxylating)	1	-117.990	-118.860	-119.520	-1
rxn00230	diphosphate:acetate phosphotransferase	2	5.600	6.100	5.780	22
rxn00231	Acetamide amidohydrolase	3	-6.260	-5.660	-9.580	-1
rxn00232	5'-acetylphosphoadenosine acetylhydrolase	3	-17.710	-289.930	-22.270	-1
rxn00233	2,4-dioxopentanoate acetylhydrolase	3	-14.350	-10.350	-8.550	-1
rxn00234	(2S)-2-hydroxy-2-methylbutanedioate pyruvate-lyase (acetate-forming)	4	1.630	0.620	0.490	-1
rxn00235	6-Acetyl-D-glucose acetylhydrolase	3	-3.680	-6.800	-7.510	33
rxn00236	GDP phosphohydrolase	3	-16.340	-5.520	-5.790	36
rxn00237	ATP:GDP phosphotransferase	2	0.000	-0.600	0.010	16
rxn00239	ATP:GMP phosphotransferase	2	9.530	-0.640	-0.610	3
rxn00241	GTP phosphohydrolase	3	-6.810	-5.560	-6.400	42
rxn00242	guanosine-3',5'-bis(diphosphate) 3'-diphosphohydrolase	3	-3.740	-5.600	-4.600	-1
rxn00243	GDP-glucose glucohydrolase	3	-4.810	-6.560	-7.580	-1
rxn00244	Oxaloacetate acetylhydrolase	3	-11.610	-12.310	-12.040	-1
rxn00245	(R,R)-tartrate hydro-lyase (oxaloacetate-forming)	4	-8.170	-8.310	-12.890	-1
rxn00247	ATP:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming)	4	-9.820	2.570	2.540	0
rxn00248	(S)-malate:NAD+ oxidoreductase	1	6.220	7.090	7.320	22
rxn00249	(S)-malate:NADP+ oxidoreductase	1	6.220	7.090	6.740	22
rxn00250	Pyruvate:carbon-dioxide ligase (ADP-forming)	6	-1.070	-0.940	-1.190	-1
rxn00251	phosphate:oxaloacetate carboxy-lyase (adding phosphate;phosphoenolpyruvate-forming)	4	-3.010	8.730	8.940	0
rxn00252	diphosphate:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming)	4	1.140	5.260	5.120	14
rxn00253	erythro-3-hydroxy-Ls-aspartate ammonia-lyase (oxaloacetate-forming)	4	-5.700	-6.280	-9.650	-1
rxn00254	2-oxosuccinamate amidohydrolase	3	-4.720	-1.530	-4.850	-1
rxn00255	4-carboxy-4-hydroxy-2-oxoadipate oxaloacetate-lyase (pyruvate-forming)	4	3.170	5.060	2.840	22
rxn00256	acetyl-CoA:oxaloacetate C-acetyltransferase (thioester-hydrolysing)	2;4	8.920	8.600	8.330	18
rxn00257	acetyl-CoA:oxaloacetate C-acetyltransferase [(pro-S)-carboxymethyl-forming, ADP-phosphorylating]	2	2.110	2.440	1.930	20
rxn00258	Malonyl-CoA:pyruvate carboxytransferase	2	-0.000	0.020	-1.850	-1
rxn00260	L-Aspartate:2-oxoglutarate aminotransferase	2	-0.000	0.690	0.720	-1
rxn00262	L-Aspartic acid:oxygen oxidoreductase (deaminating)	1	-23.020	-22.320	-22.270	34
rxn00263	D-Aspartate:oxygen oxidoreductase (deaminating)	1	-23.020	-23.570	-23.870	34
rxn00264	(S)-Malate:oxygen oxidoreductase	1	-25.490	-24.630	-24.880	34
rxn00265	citrate oxaloacetate-lyase (forming acetate from the pro-S carboxymethyl group of citrate)	4	1.630	1.300	1.090	-1
rxn00266	Oxaloacetate keto-enol-isomerase	5	8.220	1.360	-0.000	-1
rxn00268	glycine:NAD+ oxidoreductase (deaminating)	1	10.150	10.750	12.070	18
rxn00269	glycine:oxygen oxidoreductase (deaminating)	1	-21.560	-20.980	-20.130	34
rxn00270	S-Adenosyl-L-methionine:glycine N-methyltransferase	2	-10.460	3.090	12.150	0
rxn00271	N-(carboxymethyl)-D-alanine:NAD+ oxidoreductase (glycine-forming)	1	9.210	8.390	3.480	-1
rxn00272	L-Alanine:glyoxylate aminotransferase	2	-1.460	-1.960	-2.690	-1
rxn00274	Acetyl-CoA:glycine C-acetyltransferase	2	5.250	8.440	5.920	-1
rxn00275	Glycine:2-oxoglutarate aminotransferase	2	1.460	2.030	2.850	20
rxn00276	Glycine:oxaloacetate aminotransferase	2	1.460	1.340	2.130	20
rxn00278	L-Alanine:NAD+ oxidoreductase (deaminating)	1	8.690	8.780	9.380	18
rxn00279	L-aspartate 4-carboxy-lyase (L-alanine-forming)	4	-4.900	-3.340	-3.470	-1
rxn00280	2,2'-iminodipropanoate:NAD+ oxidoreductase (L-alanine-forming)	1	9.210	8.180	8.360	18
rxn00282	L-alanine:oxaloacetate aminotransferase	2	0.000	-0.630	-0.560	-1
rxn00283	alanine racemase	5	0.000	-0.010	0.000	16
rxn00284	succinate:NAD+ oxidoreductase	1	15.000	14.880	16.740	19
rxn00285	Succinate:CoA ligase (ADP-forming)	6	-1.060	-0.490	0.100	-1
rxn00286	succinyl-CoA:malate CoA-transferase	2	-0.000	-1.040	-0.780	-1
rxn00287	Succinyl-CoA hydrolase	3	-5.750	-5.670	-6.500	41
rxn00288	Succinate:(acceptor) oxidoreductase	1	-3.850	11.270	12.320	0
rxn00289	(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate pyruvate-lyase (succinate-forming)	4	4.980	2.270	4.960	-1
rxn00290	succinyl-CoA:acetoacetate CoA-transferase	2	-0.000	2.950	2.590	-1
rxn00291	N-succinyl-L-glutamate amidohydrolase	3	-0.460	-0.670	-0.550	-1
