n	rxns	sd_gc	range_gc	sd_eq	range_eq	sd_dgp	range_dgp	empty_dsig
3	rxn03878;rxn28415;rxn30972	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn03874;rxn19669;rxn34630	0.000	0.000	0.052	0.110	0.146	0.310	0
5	rxn03866;rxn19979;rxn19982;rxn19986;rxn19988	0.000	0.000	0.000	0.000	2.040	5.100	0
3	rxn03859;rxn04778;rxn04780	0.000	0.000	0.019	0.040	0.029	0.070	0
2	rxn04006;rxn04007	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn03850;rxn03854	0.000	0.000	66.060	132.120	0.180	0.360	0
3	rxn03842;rxn27436;rxn32842	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn03841;rxn19071	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn03814;rxn15873	0.000	0.000	0.005	0.010	0.610	1.220	0
2	rxn03806;rxn16742	0.000	0.000	0.000	0.000	1.045	2.090	0
5	rxn03796;rxn23761;rxn32718;rxn33361;rxn33363	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn03787;rxn15540	0.000	0.000	0.000	0.000	0.000	0.000	0
5	rxn03753;rxn32807;rxn32836;rxn32837;rxn32838	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn03742;rxn04725	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn03851;rxn03853	0.000	0.000	66.060	132.120	0.180	0.360	0
4	rxn04003;rxn11661;rxn38401;rxn38402	0.000	0.000	0.000	0.000	0.295	0.590	0
2	rxn03998;rxn04002	0.000	0.000	0.005	0.010	0.295	0.590	0
3	rxn03994;rxn03995;rxn04973	0.000	0.000	0.000	0.000	0.721	1.530	0
3	rxn03989;rxn04395;rxn05094	0.000	0.000	0.000	0.000	0.047	0.100	0
3	rxn03983;rxn27491;rxn34797	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn03974;rxn03975	0.000	0.000	0.000	0.000	0.290	0.580	0
3	rxn03968;rxn15547;rxn15548	0.000	0.000	0.113	0.240	0.000	0.000	0
4	rxn03966;rxn15850;rxn15856;rxn23435	0.000	0.000	0.598	1.380	0.102	0.270	0
4	rxn03963;rxn03964;rxn04934;rxn04935	0.000	0.000	0.000	0.000	0.489	1.370	0
2	rxn03909;rxn27845	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn03959;rxn03960	0.000	0.000	0.000	0.000	0.640	1.280	0
2	rxn03958;rxn19646	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn03952;rxn11728	0.000	0.000	0.000	0.000	1.655	3.310	0
3	rxn03948;rxn25609;rxn40145	0.000	0.000	0.000	0.000	1.660	4.060	0
4	rxn03923;rxn32066;rxn32070;rxn32073	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn03922;rxn04720;rxn04730	0.000	0.000	0.179	0.380	21.626	46.740	0
5	rxn03917;rxn13937;rxn13947;rxn16611;rxn39958	0.000	0.000	0.000	0.000	1.748	4.370	0
2	rxn03913;rxn17223	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn03912;rxn26736;rxn26737	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn03910;rxn28646	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn03961;rxn16879	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn02470;rxn23952	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn02469;rxn16204;rxn27385	0.000	0.000	2.183	4.630	0.038	0.080	0
2	rxn02467;rxn03363	0.000	0.000	0.005	0.010	0.505	1.010	0
3	rxn02466;rxn10595;rxn10596	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn02463;rxn02464	0.000	0.000	0.005	0.010	0.295	0.590	0
5	rxn02445;rxn02801;rxn05042;rxn14026;rxn14214	0.000	0.000	0.179	0.370	0.272	0.560	0
2	rxn02442;rxn19142	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn02430;rxn40164	0.000	0.000	0.000	0.000	0.290	0.580	0
2	rxn02427;rxn02428	0.000	0.000	0.005	0.010	0.290	0.580	0
2	rxn03051;rxn03206	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn02416;rxn02577;rxn02786;rxn03388	0.000	0.000	0.000	0.000	6.548	16.050	0
2	rxn02412;rxn15403	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn02407;rxn38674;rxn38675	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn02404;rxn30717;rxn32076	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn02402;rxn20663;rxn30194	0.000	0.000	0.000	0.000	0.000	0.000	0
