assembly_accession,current_accession,organism_name,tax_id,assembly_name,status,superkingdom,kingdom,phylum,class,order,family,genus,species
GCF_000255275.1,GCF_000255275.1,Corynebacterium diphtheriae PW8,698964,ASM25527v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium diphtheriae
GCF_000255295.1,GCF_000255295.1,Corallococcus coralloides DSM 2259,1144275,ASM25529v1,resolved,Bacteria,Pseudomonadati,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides
GCF_000255535.1,GCF_000255535.1,Rahnella aquatilis HX2,1151116,ASM25553v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Rahnella,Rahnella aquatilis
GCF_000255915.1,GCF_000255915.1,Pasteurella multocida subsp. multocida str. HN06,1132496,ASM25591v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,Pasteurella multocida
GCF_000255935.1,GCF_000255935.1,Corynebacterium pseudotuberculosis P54B96,1117942,ASM25593v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis
GCF_000255955.1,GCF_000255955.1,Helicobacter pylori ELS37,1055527,ASM25595v1,resolved,Bacteria,Pseudomonadati,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori
GCF_000257275.1,GCF_000257275.1,Escherichia coli P12b,910348,ASM25727v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
GCF_000257545.3,GCF_000257545.3,Pseudomonas mandelii JR-1,1147786,ASM25754v3,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas mandelii
GCF_000258025.1,GCF_000258025.1,Escherichia coli KO11FL,595495,ASM25802v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
GCF_000258145.1,GCF_000258145.1,Escherichia coli W,566546,ASM25814v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
GCF_000258245.1,GCF_000258245.1,Thermus thermophilus JL-18,798128,ASM25824v1,resolved,Bacteria,Thermotogati,Deinococcota,Deinococci,Thermales,Thermaceae,Thermus,Thermus thermophilus
GCF_000258365.1,GCF_000258365.1,Salmonella enterica subsp. enterica serovar Heidelberg str. B182,1160717,ASM25836v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
GCF_000258385.1,GCF_000258385.1,Corynebacterium pseudotuberculosis 267,1089446,ASM25838v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis
GCF_000258405.1,GCF_000258405.1,Ignavibacterium album JCM 16511,945713,ASM25840v1,resolved,Bacteria,Pseudomonadati,Ignavibacteriota,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,Ignavibacterium,Ignavibacterium album
GCF_000258425.1,GCF_000258425.1,Fervidicoccus fontis Kam940,1163730,ASM25842v1,resolved,Archaea,Thermoproteati,Thermoproteota,Thermoprotei,Fervidicoccales,Fervidicoccaceae,Fervidicoccus,Fervidicoccus fontis
GCF_000258535.2,GCF_000258535.2,Paenibacillus mucilaginosus K02,997761,ASM25853v2,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Caryophanales,Paenibacillaceae,Paenibacillus,Paenibacillus mucilaginosus
