rxn_id	Beber_2022	ln_RI
rxn00922	=	-2.121
rxn00923	>	-10.873
rxn00924	<	7.432
rxn00925	<	48.096
rxn00926	>	-10.185
rxn00927	=	-6.217
rxn00928	=	4.109
rxn00929	<	8.978
rxn00930	=	4.109
rxn00931	<	8.979
rxn00932	>	-65.749
rxn00933	>	-11.686
rxn00934	=	-0.964
rxn00935	=	2.220
rxn00936	=	1.417
rxn00937	>	-36.304
rxn00938	=	-5.645
rxn00939	<	9.479
rxn00940	>	-11.654
rxn00941	=	2.739
rxn00942	>	-13.863
rxn00943	>	-12.579
rxn00944	=	0.027
rxn00945	<	11.897
rxn00946	<	8.768
rxn00947	=	-1.820
rxn00948	=	-1.370
rxn00949	>	-7.950
rxn00950	=	-6.800
rxn00952	>	-13.017
rxn00953	=	-3.655
rxn00955	<	7.533
rxn00956	=	-0.585
rxn00957	>	-8.221
rxn00958	>	-8.221
rxn00959	>	-68.233
rxn00960	>	-68.232
rxn00961	>	-60.199
rxn00962	>	-68.232
rxn00963	>	-60.199
rxn00964	=	-2.141
rxn00965	>	-11.938
rxn00966	<	34.995
rxn00967	>	-10.863
rxn00968	>	-93.507
rxn00970	<	10.683
rxn00971	=	-0.797
rxn00972	=	-2.269
rxn00973	=	2.763
rxn00974	=	3.418
rxn00975	=	-3.891
rxn00976	=	-4.154
rxn00977	=	-3.425
rxn00978	=	-4.372
rxn00979	>	-13.486
rxn00980	>	-13.043
rxn00981	>	-9.023
rxn00985	=	6.665
rxn00987	=	-4.192
rxn00988	=	-0.282
rxn00989	>	-15.654
rxn00990	=	-1.232
rxn00991	>	-10.323
rxn00992	=	1.607
rxn00993	<	25.114
rxn00994	=	0.353
rxn00995	>	-7.953
rxn00996	>	-46.124
rxn00997	=	6.075
rxn00998	=	6.076
rxn00999	>	-102.210
rxn01000	>	-22.022
rxn01001	=	-2.217
rxn01002	>	-7.894
rxn01003	>	-10.688
rxn01004	=	2.301
rxn01005	=	-1.498
rxn01006	=	-1.498
rxn01007	=	-6.486
rxn01008	=	-0.458
rxn01009	=	-6.593
rxn01010	=	-0.531
rxn01011	=	5.687
rxn01012	=	2.596
rxn01013	=	5.688
rxn01014	>	-9.333
rxn01015	=	0.636
rxn01016	=	3.396
rxn01017	=	-1.353
rxn01018	=	-4.534
rxn01019	=	-6.116
rxn01020	=	-0.603
rxn01021	>	-8.411
rxn01022	=	2.119
rxn01023	<	18.428
rxn01024	>	-33.083
rxn01025	>	-10.664
rxn01026	>	-59.451
rxn01027	=	0.149
rxn01028	=	0.149
rxn01029	>	-13.913
rxn01030	<	177.574
rxn01031	<	20.372
rxn01032	>	-8.892
rxn01033	>	-8.891
rxn01034	>	-18.529
rxn01035	=	-1.789
rxn01036	>	-330.021
rxn01037	=	-4.497
rxn01038	=	-4.536
rxn01039	<	9.636
rxn01041	=	-5.817
rxn01042	=	-5.817
rxn01043	=	2.575
rxn01044	=	1.480
rxn01045	=	2.910
rxn01046	>	-6.982
rxn01048	=	-3.627
rxn01049	=	-2.577
rxn01050	>	-29.446
rxn01051	>	-8.312
rxn01052	=	0.721
rxn01053	>	-10.562
rxn01054	=	-0.564
rxn01055	<	38.149
rxn01056	=	1.950
rxn01057	=	1.242
rxn01058	=	2.885
rxn01060	<	10.741
rxn01061	>	-61.508
rxn01062	=	2.886
rxn01063	<	10.685
rxn01064	>	-26.943
rxn01065	>	-8.085
rxn01067	>	-62.314
rxn01068	=	4.466
rxn01069	>	-12.509
rxn01070	=	4.054
rxn01071	=	-5.042
rxn01072	>	-19.140
rxn01073	>	-71.684
rxn01074	=	-1.879
rxn01075	=	-0.056
rxn01076	=	-2.007
rxn01077	=	-2.007
rxn01079	=	2.607
rxn01080	=	0.244
rxn01081	>	-11.697
rxn01082	>	-10.606
rxn01083	=	-0.366
rxn01093	<	235.331
rxn01094	>	-12.476
rxn01095	>	-81.938
rxn01096	>	-64.019
rxn01097	=	-5.248
rxn01098	>	-7.067
rxn01099	>	-8.449
rxn01100	=	3.945
rxn01101	=	6.224
rxn01102	=	-3.099
rxn01103	>	-17.841
rxn01104	>	-7.247
rxn01105	=	4.484
rxn01106	=	-1.806
rxn01107	>	-13.185
rxn01108	=	-1.834
rxn01109	=	-1.834
rxn01110	>	-27.943
rxn01111	=	-5.766
rxn01112	=	4.171
rxn01113	=	4.171
