rxn_id,operator,dg,dge
rxn00906,=,2.04,0.27
rxn00907,=,2.04,0.28
rxn00908,=,4.36,0.98
rxn00909,=,-5.32,0.71
rxn00910,=,8.93,1.02
rxn00911,=,1.74,0.76
rxn00912,=,2.48,1.24
rxn00913,=,-1.34,0.82
rxn00914,=,-4.82,0.82
rxn00915,<,6.58,0.54
rxn00916,=,-73.96,16170.4
rxn00917,>,-76.77,16170.4
rxn00918,>,-10.32,1.49
rxn00919,>,-7.22,0.89
rxn00920,=,-8.84,0.76
rxn00921,>,-2.66,0.8
rxn00922,=,-1.84,23900.57
rxn00923,>,-13.21,1.07
rxn00925,=,47.45,16900.26
rxn00926,=,-5.3,0.39
rxn00927,=,-1.15,0.43
rxn00928,=,5.6,0.37
rxn00929,=,4.72,1.45
rxn00930,=,5.61,0.36
rxn00931,=,4.72,1.45
rxn00932,>,-117.0,2.28
rxn00933,>,-7.19,1.91
rxn00934,=,-1.53,0.87
rxn00935,=,3.49,0.73
rxn00936,=,5.01,1.07
rxn00938,=,-1.38,0.78
rxn00939,=,11.19,23900.57
rxn00940,=,-5.54,1.2
rxn00941,<,3.08,1.26
rxn00942,=,-6.8,0.83
rxn00943,>,-5.8,1.53
rxn00944,=,-3.34,0.46
